ID,Comentario,Tipo
1163,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1164,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1165,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1166,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1167,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1168,Tuve un problema con mi compra y nadie me ayudó.,Queja
1169,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1170,El producto llegó defectuoso y tardaron en dar solución.,Queja
1171,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1172,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1173,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1174,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1175,La página web es muy lenta y difícil de usar.,Queja
1176,El servicio al cliente fue muy lento y poco amable.,Queja
1177,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1178,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1179,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1180,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1181,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1182,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1183,No me gusta que el personal no esté bien capacitado.,Queja
1184,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1185,No responden los correos de atención al cliente.,Queja
1186,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1187,Sería genial si agregaran más opciones de pago.,Sugerencia
1188,La página web es muy lenta y difícil de usar.,Queja
1189,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1190,Tuve un problema con mi compra y nadie me ayudó.,Queja
1191,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1192,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1193,No me gusta que el personal no esté bien capacitado.,Queja
1194,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1195,No me gusta que el personal no esté bien capacitado.,Queja
1196,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1197,No responden los correos de atención al cliente.,Queja
1198,El servicio al cliente fue muy lento y poco amable.,Queja
1199,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1200,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1201,El producto llegó defectuoso y tardaron en dar solución.,Queja
1202,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1203,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1204,El servicio al cliente fue muy lento y poco amable.,Queja
1205,La página web es muy lenta y difícil de usar.,Queja
1206,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1207,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1208,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1209,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1210,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1211,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1212,No me gusta que el personal no esté bien capacitado.,Queja
1213,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1214,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1215,El servicio al cliente fue muy lento y poco amable.,Queja
1216,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1217,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1218,El servicio al cliente fue muy lento y poco amable.,Queja
1219,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1220,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1221,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1222,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1223,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1224,Tuve un problema con mi compra y nadie me ayudó.,Queja
1225,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1226,Sería genial si agregaran más opciones de pago.,Sugerencia
1227,Sería genial si agregaran más opciones de pago.,Sugerencia
1228,No me gusta que el personal no esté bien capacitado.,Queja
1229,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1230,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1231,El servicio al cliente fue muy lento y poco amable.,Queja
1232,La página web es muy lenta y difícil de usar.,Queja
1233,No responden los correos de atención al cliente.,Queja
1234,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1235,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1236,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1237,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1238,La página web es muy lenta y difícil de usar.,Queja
1239,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1240,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1241,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1242,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1243,El servicio al cliente fue muy lento y poco amable.,Queja
1244,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1245,El servicio al cliente fue muy lento y poco amable.,Queja
1246,No me gusta que el personal no esté bien capacitado.,Queja
1247,No responden los correos de atención al cliente.,Queja
1248,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1249,Sería genial si agregaran más opciones de pago.,Sugerencia
1250,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1251,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1252,El producto llegó defectuoso y tardaron en dar solución.,Queja
1253,El producto llegó defectuoso y tardaron en dar solución.,Queja
1254,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1255,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1256,No responden los correos de atención al cliente.,Queja
1257,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1258,Sería genial si agregaran más opciones de pago.,Sugerencia
1259,No responden los correos de atención al cliente.,Queja
1260,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1261,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1262,El servicio al cliente fue muy lento y poco amable.,Queja
1263,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1264,No me gusta que el personal no esté bien capacitado.,Queja
1265,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1266,El servicio al cliente fue muy lento y poco amable.,Queja
1267,No me gusta que el personal no esté bien capacitado.,Queja
1268,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1269,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1270,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1271,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1272,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1273,No responden los correos de atención al cliente.,Queja
1274,El servicio al cliente fue muy lento y poco amable.,Queja
1275,El producto llegó defectuoso y tardaron en dar solución.,Queja
1276,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1277,El producto llegó defectuoso y tardaron en dar solución.,Queja
1278,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1279,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1280,No responden los correos de atención al cliente.,Queja
1281,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1282,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1283,El producto llegó defectuoso y tardaron en dar solución.,Queja
1284,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1285,No me gusta que el personal no esté bien capacitado.,Queja
1286,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1287,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1288,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1289,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1290,Tuve un problema con mi compra y nadie me ayudó.,Queja
1291,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1292,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1293,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1294,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1295,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1296,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1297,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1298,No responden los correos de atención al cliente.,Queja
1299,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1300,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1301,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1302,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1303,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1304,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1305,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1306,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1307,No me gusta que el personal no esté bien capacitado.,Queja
1308,Tuve un problema con mi compra y nadie me ayudó.,Queja
1309,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1310,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1311,El servicio al cliente fue muy lento y poco amable.,Queja
1312,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1313,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1314,El servicio al cliente fue muy lento y poco amable.,Queja
1315,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1316,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1317,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1318,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1319,El producto llegó defectuoso y tardaron en dar solución.,Queja
1320,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1321,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1322,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1323,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1324,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1325,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1326,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1327,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1328,No responden los correos de atención al cliente.,Queja
1329,El servicio al cliente fue muy lento y poco amable.,Queja
1330,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1331,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1332,Sería genial si agregaran más opciones de pago.,Sugerencia
1333,No me gusta que el personal no esté bien capacitado.,Queja
1334,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1335,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1336,Tuve un problema con mi compra y nadie me ayudó.,Queja
1337,La página web es muy lenta y difícil de usar.,Queja
1338,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1339,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1340,No responden los correos de atención al cliente.,Queja
1341,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1342,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1343,Sería genial si agregaran más opciones de pago.,Sugerencia
1344,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1345,El servicio al cliente fue muy lento y poco amable.,Queja
1346,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1347,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1348,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1349,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1350,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1351,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1352,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1353,El servicio al cliente fue muy lento y poco amable.,Queja
1354,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1355,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1356,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1357,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1358,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1359,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1360,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1361,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1362,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1363,Tuve un problema con mi compra y nadie me ayudó.,Queja
1364,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1365,No me gusta que el personal no esté bien capacitado.,Queja
1366,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1367,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1368,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1369,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1370,La página web es muy lenta y difícil de usar.,Queja
1371,El producto llegó defectuoso y tardaron en dar solución.,Queja
1372,Sería genial si agregaran más opciones de pago.,Sugerencia
1373,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1374,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1375,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1376,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1377,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1378,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1379,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1380,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1381,No me gusta que el personal no esté bien capacitado.,Queja
1382,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1383,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1384,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1385,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1386,No me gusta que el personal no esté bien capacitado.,Queja
1387,El producto llegó defectuoso y tardaron en dar solución.,Queja
1388,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1389,El producto llegó defectuoso y tardaron en dar solución.,Queja
1390,El servicio al cliente fue muy lento y poco amable.,Queja
1391,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1392,No me gusta que el personal no esté bien capacitado.,Queja
1393,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1394,Tuve un problema con mi compra y nadie me ayudó.,Queja
1395,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1396,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1397,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1398,No me gusta que el personal no esté bien capacitado.,Queja
1399,El producto llegó defectuoso y tardaron en dar solución.,Queja
1400,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1401,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1402,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1403,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1404,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1405,Tuve un problema con mi compra y nadie me ayudó.,Queja
1406,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1407,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1408,Tuve un problema con mi compra y nadie me ayudó.,Queja
1409,No responden los correos de atención al cliente.,Queja
1410,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1411,Tuve un problema con mi compra y nadie me ayudó.,Queja
1412,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1413,Sería genial si agregaran más opciones de pago.,Sugerencia
1414,La página web es muy lenta y difícil de usar.,Queja
1415,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1416,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1417,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1418,El producto llegó defectuoso y tardaron en dar solución.,Queja
1419,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1420,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1421,El servicio al cliente fue muy lento y poco amable.,Queja
1422,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1423,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1424,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1425,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1426,Sería genial si agregaran más opciones de pago.,Sugerencia
1427,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1428,La página web es muy lenta y difícil de usar.,Queja
1429,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1430,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1431,No me gusta que el personal no esté bien capacitado.,Queja
1432,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1433,El producto llegó defectuoso y tardaron en dar solución.,Queja
1434,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1435,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1436,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1437,Tuve un problema con mi compra y nadie me ayudó.,Queja
1438,No me gusta que el personal no esté bien capacitado.,Queja
1439,El producto llegó defectuoso y tardaron en dar solución.,Queja
1440,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1441,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1442,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1443,No responden los correos de atención al cliente.,Queja
1444,El producto llegó defectuoso y tardaron en dar solución.,Queja
1445,La página web es muy lenta y difícil de usar.,Queja
1446,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1447,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1448,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1449,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1450,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1451,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1452,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1453,Tuve un problema con mi compra y nadie me ayudó.,Queja
1454,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1455,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1456,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1457,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1458,No responden los correos de atención al cliente.,Queja
1459,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1460,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1461,No responden los correos de atención al cliente.,Queja
1462,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1463,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1464,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1465,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1466,Tuve un problema con mi compra y nadie me ayudó.,Queja
1467,El servicio al cliente fue muy lento y poco amable.,Queja
1468,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1469,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1470,Sería genial si agregaran más opciones de pago.,Sugerencia
1471,Tuve un problema con mi compra y nadie me ayudó.,Queja
1472,Tuve un problema con mi compra y nadie me ayudó.,Queja
1473,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1474,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1475,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1476,Tuve un problema con mi compra y nadie me ayudó.,Queja
1477,La página web es muy lenta y difícil de usar.,Queja
1478,No me gusta que el personal no esté bien capacitado.,Queja
1479,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1480,No me gusta que el personal no esté bien capacitado.,Queja
1481,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1482,El producto llegó defectuoso y tardaron en dar solución.,Queja
1483,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1484,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1485,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1486,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1487,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1488,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1489,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1490,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1491,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1492,No me gusta que el personal no esté bien capacitado.,Queja
1493,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1494,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1495,No responden los correos de atención al cliente.,Queja
1496,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1497,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1498,La página web es muy lenta y difícil de usar.,Queja
1499,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1500,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1501,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1502,Sería genial si agregaran más opciones de pago.,Sugerencia
1503,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1504,El servicio al cliente fue muy lento y poco amable.,Queja
1505,No me gusta que el personal no esté bien capacitado.,Queja
1506,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1507,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1508,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1509,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1510,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1511,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1512,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
1513,El producto llegó defectuoso y tardaron en dar solución.,Queja
1514,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1515,No me gusta que el personal no esté bien capacitado.,Queja
1516,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1517,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1518,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1519,El producto llegó defectuoso y tardaron en dar solución.,Queja
1520,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1521,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1522,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1523,No responden los correos de atención al cliente.,Queja
1524,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1525,Sería genial si agregaran más opciones de pago.,Sugerencia
1526,El producto llegó defectuoso y tardaron en dar solución.,Queja
1527,La página web es muy lenta y difícil de usar.,Queja
1528,El producto llegó defectuoso y tardaron en dar solución.,Queja
1529,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1530,La página web es muy lenta y difícil de usar.,Queja
1531,El producto llegó defectuoso y tardaron en dar solución.,Queja
1532,Tuve un problema con mi compra y nadie me ayudó.,Queja
1533,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1534,El producto llegó defectuoso y tardaron en dar solución.,Queja
1535,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1536,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1537,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1538,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
1539,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1540,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1541,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1542,Tuve un problema con mi compra y nadie me ayudó.,Queja
1543,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1544,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1545,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1546,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1547,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1548,El servicio al cliente fue muy lento y poco amable.,Queja
1549,Tuve un problema con mi compra y nadie me ayudó.,Queja
1550,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
1551,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1552,El servicio al cliente fue muy lento y poco amable.,Queja
1553,La página web es muy lenta y difícil de usar.,Queja
1554,La página web es muy lenta y difícil de usar.,Queja
1555,Tuve un problema con mi compra y nadie me ayudó.,Queja
1556,El producto llegó defectuoso y tardaron en dar solución.,Queja
1557,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1558,El producto llegó defectuoso y tardaron en dar solución.,Queja
1559,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
1560,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
1561,La página web es muy lenta y difícil de usar.,Queja
1562,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1563,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
1564,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1565,Sería genial si agregaran más opciones de pago.,Sugerencia
1566,Sería genial si agregaran más opciones de pago.,Sugerencia
1567,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1568,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1569,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1570,No me gusta que el personal no esté bien capacitado.,Queja
1571,Tuve un problema con mi compra y nadie me ayudó.,Queja
1572,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1573,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1574,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
1575,No responden los correos de atención al cliente.,Queja
1576,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1577,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
1578,La página web es muy lenta y difícil de usar.,Queja
1579,Sería genial si agregaran más opciones de pago.,Sugerencia
1580,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1581,La página web es muy lenta y difícil de usar.,Queja
1582,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1583,La página web es muy lenta y difícil de usar.,Queja
1584,Tuve un problema con mi compra y nadie me ayudó.,Queja
1585,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
1586,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1587,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1588,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1589,El servicio al cliente fue muy lento y poco amable.,Queja
1590,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
1591,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
1592,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
1593,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
1594,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
